country_code,year,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best,,,
ABW,2014,Education,All,Core,84.6037,84.6037,100.0000,,,
ABW,2014,Housing,All,Core,92.8203,92.8203,100.0000,,,
ABW,2014,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2014,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2015,Education,All,Core,84.6037,84.6037,100.0000,,,
ABW,2015,Housing,All,Core,92.6454,92.6454,100.0000,,,
ABW,2015,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2015,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2016,Education,All,Core,84.6037,84.6037,100.0000,,,
ABW,2016,Housing,All,Core,92.5895,92.5895,100.0000,,,
ABW,2016,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2016,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2017,Education,All,Core,84.6037,84.6037,100.0000,,,
ABW,2017,Housing,All,Core,92.5895,92.5895,100.0000,,,
ABW,2017,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2017,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2018,Education,All,Core,84.6037,84.6037,100.0000,,,
ABW,2018,Housing,All,Core,92.5895,92.5895,100.0000,,,
ABW,2018,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2018,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2019,Education,All,Core,84.6037,84.6037,100.0000,,,
ABW,2019,Housing,All,Core,92.5895,92.5895,100.0000,,,
ABW,2019,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2019,Education,Male,Core,72.8297,72.8297,100.0000,,,
AFG,2007,Food,All,Core,29.9965,20.5021,68.3484,,,
AFG,2007,Health,All,Core,70.9625,53.1092,70.7505,,,
AFG,2007,Housing,All,Core,48.3310,26.2082,54.1024,,,
AFG,2007,Food,Female,Core,31.6289,21.6179,68.3484,,,
AFG,2007,Food,Male,Core,28.5681,19.5258,68.3484,,,
AFG,2008,Food,All,Core,29.9965,20.5021,68.3484,,,
AFG,2008,Health,All,Core,68.7624,52.8440,72.6248,,,
AFG,2008,Housing,All,Core,50.3758,27.7900,55.0423,,,
AFG,2008,Food,Female,Core,31.6289,21.6179,68.3484,,,
AFG,2008,Food,Male,Core,28.5681,19.5258,68.3484,,,
AFG,2009,Food,All,Core,29.9965,20.5021,68.3484,,,
AFG,2009,Health,All,Core,67.2577,53.4707,74.7621,,,
AFG,2009,Housing,All,Core,45.6343,29.4074,64.2531,,,
AFG,2009,Food,Female,Core,31.6289,21.6179,68.3484,,,
AFG,2009,Food,Male,Core,28.5681,19.5258,68.3484,,,
AFG,2010,Food,All,Core,29.9965,20.5021,68.3484,,,
AFG,2010,Health,All,Core,68.0518,55.9204,79.1433,,,
AFG,2010,Housing,All,Core,44.6976,31.0604,69.2894,,,
AFG,2010,Food,Female,Core,31.6289,21.6179,68.3484,,,
AFG,2010,Food,Male,Core,28.5681,19.5258,68.3484,,,
AFG,2011,Food,All,Core,29.9965,20.5021,68.3484,,,
AFG,2011,Health,All,Core,69.3604,56.6345,78.5782,,,
AFG,2011,Housing,All,Core,48.0006,32.7494,68.0576,,,
AFG,2011,Food,Female,Core,31.6289,21.6179,68.3484,,,
AFG,2011,Food,Male,Core,28.5681,19.5258,68.3484,,,
AFG,2012,Food,All,Core,29.9965,20.5021,68.3484,,,
AFG,2012,Health,All,Core,65.0356,54.7111,80.3152,,,
AFG,2012,Housing,All,Core,47.8783,34.4743,71.8413,,,
AFG,2012,Food,Female,Core,31.6289,21.6179,68.3484,,,
AFG,2012,Food,Male,Core,28.5681,19.5258,68.3484,,,
AFG,2013,Food,All,Core,56.1634,46.8619,83.4385,,,
AFG,2013,Health,All,Core,65.4821,55.2600,80.4992,,,
AFG,2013,Housing,All,Core,49.7757,36.2350,72.6575,,,
AFG,2013,Food,Female,Core,57.6678,48.1172,83.4385,,,
AFG,2013,Food,Male,Core,54.6590,45.6067,83.4385,,,
AFG,2014,Food,All,Core,56.1634,46.8619,83.4385,,,
AFG,2014,Health,All,Core,66.1406,55.7787,80.4368,,,
AFG,2014,Housing,All,Core,52.4627,38.0317,72.3806,,,
AFG,2014,Food,Female,Core,57.6678,48.1172,83.4385,,,
AFG,2014,Food,Male,Core,54.6590,45.6067,83.4385,,,
AFG,2015,Food,All,HiY,81.0139,49.3258,60.8857,,,
AFG,2015,Food,All,Core,56.1634,46.8619,83.4385,,,
AFG,2015,Health,All,Core,70.3587,58.6503,80.2475,,,
AFG,2015,Housing,All,Core,55.5375,39.8648,71.6940,,,
AFG,2015,Food,Female,HiY,88.3386,48.0000,54.3364,,,
AFG,2015,Food,Female,Core,57.6678,48.1172,83.4385,,,
AFG,2015,Food,Male,HiY,98.7674,53.6667,54.3364,,,
AFG,2015,Food,Male,Core,54.6590,45.6067,83.4385,,,
AFG,2016,Food,All,HiY,72.9647,44.2697,60.6727,,,
AFG,2016,Food,All,Core,56.1634,46.8619,83.4385,,,
AFG,2016,Health,All,Core,70.9919,59.1287,80.1417,,,
AFG,2016,Housing,All,Core,58.3486,41.7341,71.4637,,,
AFG,2016,Food,Female,HiY,78.0623,42.2222,54.0878,,,
AFG,2016,Food,Female,Core,57.6678,48.1172,83.4385,,,
AFG,2016,Food,Male,HiY,91.2097,49.3333,54.0878,,,
AFG,2016,Food,Male,Core,54.6590,45.6067,83.4385,,,
AFG,2017,Food,All,HiY,64.2338,38.9888,60.6982,,,
AFG,2017,Food,All,Core,56.1634,46.8619,83.4385,,,
AFG,2017,Health,All,Core,71.5267,59.5971,80.1479,,,
AFG,2017,Housing,All,Core,61.0151,43.6438,71.4913,,,
AFG,2017,Food,Female,HiY,67.9591,36.7778,54.1175,,,
AFG,2017,Food,Female,Core,57.6678,48.1172,83.4385,,,
AFG,2017,Food,Male,HiY,82.5364,44.6667,54.1175,,,
AFG,2017,Food,Male,Core,54.6590,45.6067,83.4385,,,
AFG,2018,Food,All,HiY,58.7704,35.3933,60.2229,,,
AFG,2018,Food,All,Core,60.4226,49.9303,82.6350,,,
AFG,2018,Health,All,Core,72.1549,60.0335,80.0317,,,
AFG,2018,Housing,All,Core,64.2248,45.5951,70.9772,,,
AFG,2018,Food,Female,HiY,50.8231,27.2222,53.5627,,,
AFG,2018,Food,Female,Core,60.5914,50.0697,82.6350,,,
AFG,2018,Food,Male,HiY,74.0565,39.6667,53.5627,,,
AFG,2018,Food,Male,Core,60.2539,49.7908,82.6350,,,
AFG,2019,Food,All,HiY,47.8444,29.1011,60.8245,,,
AFG,2019,Food,All,Core,60.4226,49.9303,82.6350,,,
AFG,2019,Health,All,Core,72.4523,60.4255,80.1787,,,
AFG,2019,Housing,All,Core,66.4451,47.5881,71.6279,,,
AFG,2019,Food,Female,HiY,39.9275,21.6667,54.2650,,,
AFG,2019,Food,Female,Core,60.5914,50.0697,82.6350,,,
AFG,2019,Food,Male,HiY,61.0174,33.1111,54.2650,,,
AFG,2019,Food,Male,Core,60.2539,49.7908,82.6350,,,
AGO,2007,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2007,Health,All,Core,43.8131,41.9055,92.7141,,,
AGO,2007,Housing,All,Core,24.5035,24.2182,98.5518,,,
AGO,2007,Work,All,Core,45.3199,40.3000,88.9235,,,
AGO,2007,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2007,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2008,Education,All,Core,33.3749,33.0879,97.0496,,,
AGO,2008,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2008,Health,All,Core,45.1081,43.2657,92.8819,,,
AGO,2008,Housing,All,Core,25.2960,25.0648,98.9138,,,
AGO,2008,QoL,All,Core,41.6615,40.6602,96.7517,,,
AGO,2008,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2008,Education,Female,Core,29.4176,29.1491,97.0496,,,
AGO,2008,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2008,Education,Male,Core,37.6339,37.3281,97.0496,,,
AGO,2008,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2009,Education,All,Core,33.3332,33.0172,96.9209,,,
AGO,2009,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2009,Health,All,Core,49.3003,47.2322,94.5802,,,
AGO,2009,Housing,All,Core,27.0832,26.7984,98.7668,,,
AGO,2009,QoL,All,Core,42.8491,41.7861,97.0362,,,
AGO,2009,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2009,Education,Female,Core,29.1647,28.8680,96.9209,,,
AGO,2009,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2009,Education,Male,Core,37.8368,37.5013,96.9209,,,
AGO,2009,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2010,Education,All,Core,35.0211,34.6544,96.9501,,,
AGO,2010,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2010,Health,All,Core,50.5821,48.4817,94.5956,,,
AGO,2010,Housing,All,Core,28.5285,28.2304,98.8001,,,
AGO,2010,QoL,All,Core,43.7321,42.6498,97.0518,,,
AGO,2010,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2010,Education,Female,Core,29.2223,28.8951,96.9501,,,
AGO,2010,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2010,Education,Male,Core,41.3981,40.9913,96.9501,,,
AGO,2010,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2011,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2011,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2011,Health,All,Core,51.8474,49.7010,94.5903,,,
AGO,2011,Housing,All,Core,30.0756,29.7531,98.7886,,,
AGO,2011,QoL,All,Core,44.6368,43.5404,97.0484,,,
AGO,2011,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2011,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2011,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2011,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2011,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2012,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2012,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2012,Health,All,Core,52.9549,50.8498,94.6988,,,
AGO,2012,Housing,All,Core,31.1214,30.8451,99.0228,,,
AGO,2012,QoL,All,Core,45.0674,43.9885,97.1170,,,
AGO,2012,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2012,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2012,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2012,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2012,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2013,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2013,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2013,Health,All,Core,53.7461,51.6391,94.7282,,,
AGO,2013,Housing,All,Core,32.5256,32.2511,99.0863,,,
AGO,2013,QoL,All,Core,45.5065,44.4276,97.1356,,,
AGO,2013,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2013,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2013,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2013,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2013,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2014,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2014,Food,All,Core,64.0789,62.4826,97.5089,,,
AGO,2014,Health,All,Core,54.4554,52.3479,94.7556,,,
AGO,2014,Housing,All,Core,33.9463,33.6745,99.1455,,,
AGO,2014,QoL,All,Core,45.9325,44.8540,97.1529,,,
AGO,2014,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2014,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2014,Food,Female,Core,68.5129,66.8061,97.5089,,,
AGO,2014,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2014,Food,Male,Core,59.5018,58.0195,97.5089,,,
AGO,2015,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2015,Food,All,HiY,28.1107,25.2809,89.9335,,,
AGO,2015,Food,All,Core,51.8024,50.7671,98.0014,,,
AGO,2015,Health,All,Core,55.1471,52.9762,94.6987,,,
AGO,2015,Housing,All,Core,35.7757,35.4462,99.0227,,,
AGO,2015,QoL,All,Core,43.9814,42.9909,97.2154,,,
AGO,2015,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2015,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2015,Food,Female,HiY,30.8474,27.2222,88.2479,,,
AGO,2015,Food,Female,Core,56.7834,55.6485,98.0014,,,
AGO,2015,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2015,Food,Male,HiY,36.8910,32.5556,88.2479,,,
AGO,2015,Food,Male,Core,46.9637,46.0251,98.0014,,,
AGO,2016,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2016,Food,All,HiY,28.1107,25.2809,89.9335,,,
AGO,2016,Food,All,Core,51.8024,50.7671,98.0014,,,
AGO,2016,Health,All,Core,56.1747,53.8376,94.5272,,,
AGO,2016,Housing,All,Core,38.0037,37.5443,98.7153,,,
AGO,2016,QoL,All,Core,44.6325,43.5828,97.1197,,,
AGO,2016,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2016,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2016,Food,Female,HiY,30.8474,27.2222,88.2479,,,
AGO,2016,Food,Female,Core,56.7834,55.6485,98.0014,,,
AGO,2016,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2016,Food,Male,HiY,36.8910,32.5556,88.2479,,,
AGO,2016,Food,Male,Core,46.9637,46.0251,98.0014,,,
AGO,2017,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2017,Food,All,HiY,28.1107,25.2809,89.9335,,,
AGO,2017,Food,All,Core,51.8024,50.7671,98.0014,,,
AGO,2017,Health,All,Core,56.7686,54.3450,94.4406,,,
AGO,2017,Housing,All,Core,39.9684,39.4130,98.5287,,,
AGO,2017,QoL,All,Core,45.1443,44.0581,97.0650,,,
AGO,2017,Work,All,Core,40.4499,39.4000,97.4044,,,
AGO,2017,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2017,Food,Female,HiY,30.8474,27.2222,88.2479,,,
AGO,2017,Food,Female,Core,56.7834,55.6485,98.0014,,,
AGO,2017,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2017,Food,Male,HiY,36.8910,32.5556,88.2479,,,
AGO,2017,Food,Male,Core,46.9637,46.0251,98.0014,,,
AGO,2018,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2018,Food,All,HiY,24.0410,21.2360,88.3322,,,
AGO,2018,Food,All,Core,51.8024,50.7671,98.0014,,,
AGO,2018,Health,All,Core,55.3835,52.9259,94.3023,,,
AGO,2018,Housing,All,Core,42.1509,41.4460,98.2309,,,
AGO,2018,QoL,All,Core,43.1727,42.0008,96.6279,,,
AGO,2018,Work,All,Core,29.7947,28.5000,95.6547,,,
AGO,2018,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2018,Food,Female,HiY,31.5150,27.2222,86.3785,,,
AGO,2018,Food,Female,Core,56.7834,55.6485,98.0014,,,
AGO,2018,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2018,Food,Male,HiY,37.6894,32.5556,86.3785,,,
AGO,2018,Food,Male,Core,46.9637,46.0251,98.0014,,,
AGO,2019,Education,All,Core,36.7319,36.3652,96.9501,,,
AGO,2019,Food,All,HiY,19.8195,17.4157,87.8718,,,
AGO,2019,Food,All,Core,51.8024,50.7671,98.0014,,,
AGO,2019,Health,All,Core,55.9587,53.3999,94.1965,,,
AGO,2019,Housing,All,Core,42.8995,42.0936,98.0033,,,
AGO,2019,QoL,All,Core,43.4374,42.2251,96.5612,,,
AGO,2019,Work,All,Core,29.7947,28.5000,95.6547,,,
AGO,2019,Education,Female,Core,28.3309,28.0037,96.9501,,,
AGO,2019,Food,Female,HiY,31.7123,27.2222,85.8411,,,
AGO,2019,Food,Female,Core,56.7834,55.6485,98.0014,,,
AGO,2019,Education,Male,Core,46.3607,45.9539,96.9501,,,
AGO,2019,Food,Male,HiY,37.9254,32.5556,85.8411,,,
AGO,2019,Food,Male,Core,46.9637,46.0251,98.0014,,,
ALB,2007,Education,All,Core,78.6556,75.7349,96.0664,,,
ALB,2007,Food,All,Core,67.3130,65.9693,98.0038,,,
ALB,2007,Health,All,HiY,97.5765,94.5253,96.9008,,,
ALB,2007,Health,All,Core,75.5296,72.6372,95.1252,,,
ALB,2007,Housing,All,Core,83.9333,83.6481,99.6285,,,
ALB,2007,QoL,All,Core,79.7779,77.8579,97.3029,,,
ALB,2007,Work,All,Core,93.4581,91.3000,97.6908,,,
ALB,2007,Education,Female,Core,79.0629,76.1841,96.0664,,,
ALB,2007,Food,Female,Core,71.4401,70.0139,98.0038,,,
ALB,2007,Education,Male,Core,78.3198,75.3582,96.0664,,,
ALB,2007,Food,Male,Core,63.8976,62.6220,98.0038,,,
ALB,2008,Education,All,Core,73.5746,70.6539,96.0664,,,
ALB,2008,Food,All,Core,67.3130,65.9693,98.0038,,,
ALB,2008,Health,All,HiY,97.4834,94.6420,97.1403,,,
ALB,2008,Health,All,Core,75.5014,72.7342,95.2803,,,
ALB,2008,Housing,All,Core,84.3039,84.2766,99.9646,,,
ALB,2008,QoL,All,Core,79.0722,77.6604,97.8630,,,
ALB,2008,Work,All,Core,94.6682,94.6682,100.0000,,,
ALB,2008,Education,Female,Core,73.5679,70.6891,96.0664,,,
ALB,2008,Food,Female,Core,71.4401,70.0139,98.0038,,,
ALB,2008,Education,Male,Core,73.6153,70.6537,96.0664,,,
ALB,2008,Food,Male,Core,63.8976,62.6220,98.0038,,,
ALB,2009,Education,All,HiY,53.8593,43.0506,72.8152,,,
ALB,2009,Education,All,Core,71.9858,69.0650,96.0664,,,
ALB,2009,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2009,Health,All,HiY,97.5307,94.7708,97.2523,,,
ALB,2009,Health,All,Core,69.3966,67.3024,95.9771,,,
ALB,2009,Housing,All,Core,84.8146,84.8146,100.0000,,,
ALB,2009,PISA_Average,All,HiY,33.4667,17.6907,53.4976,,,
ALB,2009,QoL,All,Core,78.4645,77.3402,98.2389,,,
ALB,2009,Work,All,Core,94.6682,94.6682,100.0000,,,
ALB,2009,Education,Female,HiY,56.7264,44.3328,72.8152,,,
ALB,2009,Education,Female,Core,71.8034,68.9247,96.0664,,,
ALB,2009,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2009,PISA_Average,Female,HiY,40.2683,21.2387,53.4976,,,
ALB,2009,Education,Male,HiY,51.2091,41.8702,72.8152,,,
ALB,2009,Education,Male,Core,72.1868,69.2252,96.0664,,,
ALB,2009,Food,Male,Core,72.1607,71.5481,99.1511,,,
ALB,2009,PISA_Average,Male,HiY,27.1272,14.3727,53.4976,,,
ALB,2010,Education,All,HiY,53.8593,43.0506,72.8152,,,
ALB,2010,Education,All,Core,72.3059,69.3852,96.0664,,,
ALB,2010,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2010,Health,All,HiY,97.5778,94.8958,97.3641,,,
ALB,2010,Health,All,Core,69.4803,67.4429,96.0495,,,
ALB,2010,Housing,All,Core,85.2814,85.2814,100.0000,,,
ALB,2010,PISA_Average,All,HiY,33.4667,17.6907,53.4976,,,
ALB,2010,QoL,All,Core,78.6386,77.5257,98.2534,,,
ALB,2010,Work,All,Core,94.6682,94.6682,100.0000,,,
ALB,2010,Education,Female,HiY,56.7264,44.3328,72.8152,,,
ALB,2010,Education,Female,Core,72.5958,69.7171,96.0664,,,
ALB,2010,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2010,PISA_Average,Female,HiY,40.2683,21.2387,53.4976,,,
ALB,2010,Education,Male,HiY,51.2091,41.8702,72.8152,,,
ALB,2010,Education,Male,Core,72.0922,69.1306,96.0664,,,
ALB,2010,Food,Male,Core,72.1607,71.5481,99.1511,,,
ALB,2010,PISA_Average,Male,HiY,27.1272,14.3727,53.4976,,,
ALB,2011,Education,All,HiY,53.8593,43.0506,72.8152,,,
ALB,2011,Education,All,Core,73.1335,70.2128,96.0664,,,
ALB,2011,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2011,Health,All,HiY,97.6535,95.0213,97.4368,,,
ALB,2011,Health,All,Core,69.5763,67.5749,96.0966,,,
ALB,2011,Housing,All,Core,85.8176,85.8176,100.0000,,,
ALB,2011,PISA_Average,All,HiY,33.4667,17.6907,53.4976,,,
ALB,2011,QoL,All,Core,78.9306,77.8249,98.2628,,,
ALB,2011,Work,All,Core,94.6682,94.6682,100.0000,,,
ALB,2011,Education,Female,HiY,56.7264,44.3328,72.8152,,,
ALB,2011,Education,Female,Core,73.8300,70.9512,96.0664,,,
ALB,2011,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2011,PISA_Average,Female,HiY,40.2683,21.2387,53.4976,,,
ALB,2011,Education,Male,HiY,51.2091,41.8702,72.8152,,,
ALB,2011,Education,Male,Core,72.5802,69.6186,96.0664,,,
ALB,2011,Food,Male,Core,72.1607,71.5481,99.1511,,,
ALB,2011,PISA_Average,Male,HiY,27.1272,14.3727,53.4976,,,
ALB,2012,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2012,Health,All,HiY,97.7479,95.1421,97.4770,,,
ALB,2012,Health,All,Core,69.6772,67.6946,96.1226,,,
ALB,2012,Housing,All,Core,86.4045,86.4045,100.0000,,,
ALB,2012,PISA_Average,All,HiY,39.8114,23.2463,58.5212,,,
ALB,2012,Work,All,Core,93.3755,93.3755,100.0000,,,
ALB,2012,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2012,PISA_Average,Female,HiY,42.1548,24.6145,58.5212,,,
ALB,2012,Food,Male,Core,72.1607,71.5481,99.1511,,,
ALB,2012,PISA_Average,Male,HiY,38.8304,22.7173,58.5212,,,
ALB,2013,Education,All,HiY,63.4812,53.8212,77.6799,,,
ALB,2013,Education,All,Core,84.4474,83.0698,98.4194,,,
ALB,2013,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2013,Health,All,HiY,97.8892,95.3012,97.5067,,,
ALB,2013,Health,All,Core,69.8202,67.8498,96.1418,,,
ALB,2013,Housing,All,Core,86.9820,86.9820,100.0000,,,
ALB,2013,PISA_Average,All,HiY,39.8114,23.2463,58.5212,,,
ALB,2013,QoL,All,Core,81.2165,80.4256,98.7424,,,
ALB,2013,Work,All,Core,93.3755,93.3755,100.0000,,,
ALB,2013,Education,Female,HiY,64.9827,54.8246,77.6799,,,
ALB,2013,Education,Female,Core,86.7137,85.3257,98.4194,,,
ALB,2013,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2013,PISA_Average,Female,HiY,42.1548,24.6145,58.5212,,,
ALB,2013,Education,Male,HiY,62.6871,53.2626,77.6799,,,
ALB,2013,Education,Male,Core,82.4962,81.1283,98.4194,,,
ALB,2013,Food,Male,Core,72.1607,71.5481,99.1511,,,
ALB,2013,PISA_Average,Male,HiY,38.8304,22.7173,58.5212,,,
ALB,2014,Education,All,HiY,64.4564,54.8189,77.7399,,,
ALB,2014,Education,All,Core,87.3806,86.0256,98.4793,,,
ALB,2014,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2014,Health,All,HiY,97.9726,95.4174,97.5555,,,
ALB,2014,Health,All,Core,69.9136,67.9667,96.1734,,,
ALB,2014,Housing,All,Core,87.4819,87.4819,100.0000,,,
ALB,2014,PISA_Average,All,HiY,39.8114,23.2463,58.5212,,,
ALB,2014,QoL,All,Core,80.7362,79.9545,98.7607,,,
ALB,2014,Work,All,Core,87.4476,87.4476,100.0000,,,
ALB,2014,Education,Female,HiY,65.6872,55.5603,77.7399,,,
ALB,2014,Education,Female,Core,87.4181,86.0614,98.4793,,,
ALB,2014,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2014,PISA_Average,Female,HiY,42.1548,24.6145,58.5212,,,
ALB,2014,Education,Male,HiY,63.9113,54.5014,77.7399,,,
ALB,2014,Education,Male,Core,83.7204,82.3671,98.4793,,,
ALB,2014,Food,Male,Core,72.1607,71.5481,99.1511,,,
ALB,2014,PISA_Average,Male,HiY,38.8304,22.7173,58.5212,,,
ALB,2015,Education,All,HiY,67.0048,57.1700,79.3126,,,
ALB,2015,Education,All,Core,88.1837,86.8819,98.5535,,,
ALB,2015,Food,All,HiY,60.5267,56.4045,93.1894,,,
ALB,2015,Food,All,Core,71.4574,70.8508,99.1511,,,
ALB,2015,Health,All,HiY,98.0138,95.5010,97.6157,,,
ALB,2015,Health,All,Core,69.9746,68.0582,96.2124,,,
ALB,2015,Housing,All,Core,87.9241,87.9241,100.0000,,,
ALB,2015,PISA_Average,All,HiY,44.0178,26.9516,61.5181,,,
ALB,2015,QoL,All,Core,81.7093,80.9443,98.7834,,,
ALB,2015,Work,All,Core,91.0066,91.0066,100.0000,,,
ALB,2015,Education,Female,HiY,71.9244,60.3017,79.3126,,,
ALB,2015,Education,Female,Core,88.0334,86.7250,98.5535,,,
ALB,2015,Food,Female,HiY,60.5957,55.7778,92.0491,,,
ALB,2015,Food,Female,Core,70.8947,70.2929,99.1511,,,
ALB,2015,PISA_Average,Female,HiY,53.3987,32.7699,61.5181,,,
ALB,2015,Education,Male,HiY,62.5963,54.3721,79.3126,,,
ALB,2015,Education,Male,Core,84.0090,82.7134,98.5535,,,
ALB,2015,Food,Male,HiY,68.9246,63.4444,92.0491,,,
