year,country_code,Population,gdp_per_capita_2017ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd,,,,,
2010,MWI,14539612,969,1022,479,,,,,
2011,MWI,14962112,987,1063,535,,,,,
2012,MWI,15396005,977,1034,392,,,,,
2013,MWI,15839269,999,1109,348,,,,,
2014,MWI,16289540,1027,1079,371,,,,,
2015,MWI,16745303,1027,1019,381,,,,,
2016,MWI,17205289,1025,1025,316,,,,,
2017,MWI,17670260,1038,1038,357,,,,,
2018,MWI,18143315,1043,1068,381,,,,,
2019,MWI,18628747,1060,1107,412,,,,,
2006,MYS,26201961,18753,17550,6209,,,,,
2007,MYS,26720370,19547,18784,7243,,,,,
2008,MYS,27236006,20104,19695,8475,,,,,
2009,MYS,27735040,19443,19193,7292,,,,,
2010,MYS,28208035,20536,20509,9041,,,,,
2011,MYS,28650955,21289,21705,10399,,,,,
2012,MYS,29068159,22132,22986,10817,,,,,
2013,MYS,29468872,22856,23478,10970,,,,,
2014,MYS,29866559,23906,24608,11319,,,,,
2015,MYS,30270962,24788,24802,9955,,,,,
2016,MYS,30684804,25542,25546,9818,,,,,
2017,MYS,31105028,26661,26661,10259,,,,,
2018,MYS,31528585,27558,28229,11377,,,,,
2019,MYS,31949777,28364,29620,11414,,,,,
2006,NAM,1971317,8305,7335,3977,,,,,
2007,NAM,2006514,8598,7798,4351,,,,,
2008,NAM,2043394,8666,8013,4158,,,,,
2009,NAM,2081044,8535,7951,4241,,,,,
2010,NAM,2118874,8888,8377,5318,,,,,
2011,NAM,2156701,9177,8830,5723,,,,,
2012,NAM,2194784,9474,9341,5942,,,,,
2013,NAM,2233510,9833,9710,5378,,,,,
2014,NAM,2273430,10216,10401,5435,,,,,
2015,NAM,2314904,10488,10574,4869,,,,,
2016,NAM,2358041,10267,10372,4523,,,,,
2017,NAM,2402603,10051,10051,5303,,,,,
2018,NAM,2448255,9932,10174,5495,,,,,
2019,NAM,2494530,9637,10064,4957,,,,,
2006,NCL,235750,,,,,,,,
2007,NCL,239250,,,,,,,,
2008,NCL,242750,,,,,,,,
2009,NCL,245950,,,,,,,,
2010,NCL,249750,,,,,,,,
2011,NCL,254350,,,,,,,,
2012,NCL,259000,,,,,,,,
2013,NCL,263650,,,,,,,,
2014,NCL,268050,,,,,,,,
2015,NCL,272400,,,,,,,,
2016,NCL,276550,,,,,,,,
2017,NCL,280350,,,,,,,,
2018,NCL,284060,,,,,,,,
2019,NCL,287800,,,,,,,,
2006,NER,14143971,981,942,336,,,,,
2007,NER,14685399,975,961,390,,,,,
2008,NER,15250908,1011,1017,479,,,,,
2009,NER,15843133,992,1005,464,,,,,
2010,NER,16464025,1037,1063,477,,,,,
2011,NER,17114761,1021,1068,513,,,,,
2012,NER,17795191,1086,1159,530,,,,,
2013,NER,18504255,1099,1127,553,,,,,
2014,NER,19240157,1128,1143,565,,,,,
2015,NER,20001663,1132,1146,484,,,,,
2016,NER,20788838,1152,1148,498,,,,,
2017,NER,21602472,1164,1164,518,,,,,
2018,NER,22442948,1201,1230,572,,,,,
2019,NER,23310715,1225,1279,554,,,,,
2006,NGA,142538308,4130,3691,1656,,,,,
2007,NGA,146339977,4288,3935,1883,,,,,
2008,NGA,150269623,4459,4171,2243,,,,,
2009,NGA,154324933,4690,4421,1891,,,,,
2010,NGA,158503197,4932,4703,2280,,,,,
2011,NGA,162805071,5057,4923,2488,,,,,
2012,NGA,167228767,5131,4983,2724,,,,,
2013,NGA,171765769,5329,5225,2962,,,,,
2014,NGA,176404902,5516,5507,3099,,,,,
2015,NGA,181137448,5515,5426,2687,,,,,
2016,NGA,185960289,5285,5235,2176,,,,,
2017,NGA,190873311,5190,5190,1969,,,,,
2018,NGA,195874740,5155,5281,2028,,,,,
2019,NGA,200963599,5135,5363,2230,,,,,
2006,NIC,5513763,4439,3591,1227,,,,,
2007,NIC,5590055,4601,3822,1328,,,,,
2008,NIC,5667432,4694,3975,1499,,,,,
2009,NIC,5745526,4477,3821,1444,,,,,
2010,NIC,5824065,4612,3981,1504,,,,,
2011,NIC,5903039,4838,4263,1656,,,,,
2012,NIC,5982526,5083,4428,1760,,,,,
2013,NIC,6062454,5263,4610,1812,,,,,
2014,NIC,6142733,5443,4942,1934,,,,,
2015,NIC,6223240,5630,5294,2050,,,,,
2016,NIC,6303974,5812,5694,2108,,,,,
2017,NIC,6384855,6004,6004,2159,,,,,
2018,NIC,6465513,5695,5834,2021,,,,,
2019,NIC,6545502,5407,5646,1913,,,,,
2006,NIU,,,,,,,,,
2007,NIU,,,,,,,,,
2008,NIU,,,,,,,,,
2009,NIU,,,,,,,,,
2010,NIU,,,,,,,,,
2011,NIU,,,,,,,,,
2012,NIU,,,,,,,,,
2013,NIU,,,,,,,,,
2014,NIU,,,,,,,,,
2015,NIU,,,,,,,,,
2016,NIU,,,,,,,,,
2017,NIU,1624,,,16086,,,,,
2018,NIU,1606,,,18756,,,,,
2019,NIU,1583,,,,,,,,
2006,NLD,16346101,51261,40959,44863,,,,,
2007,NLD,16381696,53079,43886,51733,,,,,
2008,NLD,16445593,54020,46420,57644,,,,,
2009,NLD,16530388,51772,44590,52514,,,,,
2010,NLD,16615394,52199,45078,50950,,,,,
2011,NLD,16693074,52762,46599,54159,,,,,
2012,NLD,16754962,52026,47272,50073,,,,,
2013,NLD,16804432,51805,49242,52184,,,,,
2014,NLD,16865008,52354,49233,52830,,,,,
2015,NLD,16939923,53143,50289,45175,,,,,
2016,NLD,17030314,54020,52288,46008,,,,,
2017,NLD,17131296,55265,55265,48675,,,,,
2018,NLD,17231624,56240,59728,53045,,,,,
2019,NLD,17332850,56849,61285,52331,,,,,
2006,NOR,4660677,63048,54088,74148,,,,,
2007,NOR,4709153,64267,55863,85140,,,,,
2008,NOR,4768212,63773,61717,96944,,,,,
2009,NOR,4828726,61887,55405,79978,,,,,
2010,NOR,4889252,61549,57964,87694,,,,,
2011,NOR,4953088,61352,62077,100601,,,,,
2012,NOR,5018573,62189,65355,101524,,,,,
2013,NOR,5079623,62077,66961,102913,,,,,
2014,NOR,5137232,62589,65893,97019,,,,,
2015,NOR,5188607,63189,60369,74356,,,,,
2016,NOR,5234519,63306,58940,70459,,,,,
2017,NOR,5276968,64255,64255,75497,,,,,
2018,NOR,5311916,64656,71444,81734,,,,,
2019,NOR,5347896,64962,70006,75420,,,,,
2006,NPL,26066693,2031,1533,347,,,,,
2007,NPL,26382581,2075,1608,391,,,,,
2008,NPL,26666576,2178,1721,470,,,,,
2009,NPL,26883535,2259,1798,478,,,,,
2010,NPL,27013212,2356,1898,592,,,,,
2011,NPL,27041437,2434,2002,699,,,,,
2012,NPL,26989862,2556,2176,698,,,,,
2013,NPL,26917906,2668,2350,716,,,,,
2014,NPL,26906926,2829,2593,743,,,,,
2015,NPL,27015031,2912,2633,793,,,,,
2016,NPL,27261131,2902,2583,777,,,,,
2017,NPL,27627124,3099,3099,911,,,,,
2018,NPL,28087871,3253,3332,1039,,,,,
2019,NPL,28608710,3417,3568,1071,,,,,
2006,NRU,9828,5965,4984,,,,,,
2007,NRU,9842,4595,3942,,,,,,
2008,NRU,9891,5588,4888,,,,,,
2009,NRU,9939,6067,5347,,,,,,
2010,NRU,10005,6697,5971,4754,,,,,
2011,NRU,10057,7328,6670,6568,,,,,
2012,NRU,10279,7985,7407,9430,,,,,
2013,NRU,10821,9906,9352,9102,,,,,
2014,NRU,11853,11446,11005,8829,,,,,
2015,NRU,12475,11278,10956,6956,,,,,
2016,NRU,13049,11167,10961,7670,,,,,
2017,NRU,12876,10667,10667,8511,,,,,
2018,NRU,12704,11471,11750,9762,,,,,
2019,NRU,12581,11583,12095,9397,,,,,
2006,NZL,4184600,37956,27762,26671,,,,,
2007,NZL,4223800,38758,29384,32511,,,,,
2008,NZL,4259800,38034,29863,31290,,,,,
2009,NZL,4302600,37601,30697,28206,,,,,
2010,NZL,4350700,37764,31261,33700,,,,,
2011,NZL,4384000,38361,32744,38438,,,,,
2012,NZL,4408100,39006,32996,39983,,,,,
2013,NZL,4442100,39725,36231,42963,,,,,
2014,NZL,4509700,40548,37277,44553,,,,,
2015,NZL,4595700,41229,37465,38616,,,,,
2016,NZL,4693200,41857,39981,40106,,,,,
2017,NZL,4793900,42274,42274,42849,,,,,
2018,NZL,4841000,43168,44661,42950,,,,,
2019,NZL,4917000,43695,45382,42084,,,,,
2006,OMN,2580758,32724,40101,14420,,,,,
2007,OMN,2657158,33198,41775,15838,,,,,
2008,OMN,2750963,34696,44508,22140,,,,,
2009,OMN,2876186,35213,45517,16824,,,,,
2010,OMN,3041434,33871,44292,18713,,,,,
2011,OMN,3251108,32529,43426,20877,,,,,
2012,OMN,3498029,32967,44509,21873,,,,,
2013,OMN,3764805,32195,42079,20866,,,,,
2014,OMN,4027260,30536,38625,20035,,,,,
2015,OMN,4267348,30152,31113,16029,,,,,
2016,OMN,4479219,30190,28926,14619,,,,,
2017,OMN,4665935,29082,29082,15131,,,,,
2018,OMN,4829483,28593,29290,16521,,,,,
2019,OMN,4974986,27299,28507,15343,,,,,
2006,PAK,164022627,3836,3580,837,,,,,
2007,PAK,167808105,3931,3767,908,,,,,
2008,PAK,171648986,3909,3818,991,,,,,
2009,PAK,175525609,3931,3869,958,,,,,
2010,PAK,179424641,3907,3890,987,,,,,
2011,PAK,183340592,3929,3994,1165,,,,,
2012,PAK,187281475,3981,4019,1198,,,,,
2013,PAK,191262919,4069,4104,1209,,,,,
2014,PAK,195306825,4171,4239,1251,,,,,
2015,PAK,199426964,4278,4373,1357,,,,,
2016,PAK,203627284,4422,4410,1368,,,,,
2017,PAK,207896686,4571,4571,1465,,,,,
2018,PAK,212215030,4740,4855,1482,,,,,
2019,PAK,216565318,4690,4898,1285,,,,,
2006,PAN,3391666,17394,11571,5349,,,,,
2007,PAN,3453675,19129,13067,6166,,,,,
2008,PAN,3516204,20641,14374,7154,,,,,
2009,PAN,3579215,20529,14405,7576,,,,,
2010,PAN,3642687,21347,15154,8082,,,,,
2011,PAN,3706483,23354,16924,9358,,,,,
2012,PAN,3770624,25201,18680,10722,,,,,
2013,PAN,3835437,26486,20810,11889,,,,,
2014,PAN,3901315,27358,22897,12796,,,,,
2015,PAN,3968487,28436,25319,13630,,,,,
2016,PAN,4037078,29338,27829,14344,,,,,
2017,PAN,4106771,30455,30455,15150,,,,,
2018,PAN,4176873,31049,31806,15593,,,,,
2019,PAN,4246439,31459,32851,15731,,,,,
2006,PER,28102056,8017,7262,3154,,,,,
2007,PER,28333052,8629,8027,3606,,,,,
2008,PER,28562317,9341,8858,4221,,,,,
2009,PER,28792655,9368,8951,4196,,,,,
2010,PER,29027674,10066,9730,5082,,,,,
2011,PER,29264318,10617,10477,5869,,,,,
2012,PER,29506788,11176,10768,6529,,,,,
2013,PER,29773987,11724,11296,6757,,,,,
2014,PER,30090359,11877,11510,6673,,,,,
2015,PER,30470734,12110,11572,6229,,,,,
2016,PER,30926032,12404,12013,6205,,,,,
2017,PER,31444297,12507,12507,6711,,,,,
2018,PER,31989256,12782,13094,6941,,,,,
2019,PER,32510453,12848,13416,6978,,,,,
2006,PHL,87888675,5228,4658,1452,,,,,
2007,PHL,89405482,5475,5008,1745,,,,,
2008,PHL,90901965,5618,5240,1991,,,,,
2009,PHL,92414158,5607,5268,1906,,,,,
2010,PHL,93966780,5918,5626,2217,,,,,
2011,PHL,95570047,6044,5865,2451,,,,,
2012,PHL,97212638,6351,6297,2694,,,,,
2013,PHL,98871552,6666,6615,2871,,,,,
2014,PHL,100513138,6974,6961,2960,,,,,
2015,PHL,102113212,7300,7187,3001,,,,,
2016,PHL,103663927,7705,7704,3074,,,,,
2017,PHL,105173264,8121,8121,3123,,,,,
2018,PHL,106651922,8516,8724,3252,,,,,
2019,PHL,108116615,8908,9302,3485,,,,,
2006,PLW,19540,15393,12861,9846,,,,,
2007,PLW,19158,16017,13742,10382,,,,,
2008,PLW,18704,15457,13520,10601,,,,,
2009,PLW,18285,14769,13017,10256,,,,,
2010,PLW,17955,15073,13440,10356,,,,,
2011,PLW,17745,16271,14811,11097,,,,,
2012,PLW,17640,16642,15439,12041,,,,,
2013,PLW,17606,16109,15207,12559,,,,,
2014,PLW,17626,17104,16444,13711,,,,,
2015,PLW,17665,18352,17829,15876,,,,,
2016,PLW,17725,18275,17937,16647,,,,,
2017,PLW,17808,17841,17841,16066,,,,,
2018,PLW,17907,18463,18913,15661,,,,,
2019,PLW,18008,17579,18357,14902,,,,,
2006,PNG,6646895,2966,2478,1257,,,,,
2007,PNG,6808514,3122,2678,1402,,,,,
2008,PNG,6976201,3038,2657,1673,,,,,
2009,PNG,7144776,3168,2792,1626,,,,,
2010,PNG,7310507,3409,3040,1949,,,,,
2011,PNG,7472200,3372,3070,2407,,,,,
2012,PNG,7631002,3456,3206,2791,,,,,
2013,PNG,7788379,3516,3319,2730,,,,,
2014,PNG,7946731,3912,3762,2921,,,,,
2015,PNG,8107775,4087,3970,2679,,,,,
2016,PNG,8271760,4226,4148,2510,,,,,
2017,PNG,8438029,4289,4289,2695,,,,,
2018,PNG,8606316,4193,4296,2801,,,,,
2019,PNG,8776109,4355,4548,2829,,,,,
2006,POL,38141267,20176,15132,9035,,,,,
2007,POL,38120560,21612,16782,11255,,,,,
2008,POL,38125759,22517,18303,13996,,,,,
2009,POL,38151603,23139,19254,11526,,,,,
2010,POL,38042794,24073,21089,12613,,,,,
2011,POL,38063255,25204,22828,13880,,,,,
2012,POL,38063164,25538,23746,13097,,,,,
2013,POL,38040196,25842,24568,13696,,,,,
2014,POL,38011735,26735,25476,14271,,,,,
2015,POL,37986412,27886,26862,12578,,,,,
2016,POL,37970087,28774,28322,12447,,,,,
2017,POL,37974826,30160,30160,13865,,,,,
2018,POL,37974750,31775,32988,15468,,,,,
2019,POL,37970874,33222,35165,15693,,,,,
2006,PRI,3805214,34030,29921,22936,,,,,
2007,PRI,3782995,33832,30546,23665,,,,,
2008,PRI,3760866,33403,30745,24898,,,,,
2009,PRI,3740410,32930,30541,25769,,,,,
2010,PRI,3721525,32961,30925,26436,,,,,
2011,PRI,3678732,33225,31824,27279,,,,,
2012,PRI,3634488,33639,32583,27945,,,,,
2013,PRI,3593077,33922,33173,28513,,,,,
2014,PRI,3534874,34070,33683,28981,,,,,
2015,PRI,3473232,34311,34016,29763,,,,,
2016,PRI,3406672,34540,34347,30627,,,,,
2017,PRI,3325286,34364,34364,31109,,,,,
2018,PRI,3193354,34116,34947,31622,,,,,
2019,PRI,3193694,34518,36045,32874,,,,,
2006,PRK,24054864,,,,,,,,
2007,PRK,24188331,,,,,,,,
2008,PRK,24310142,,,,,,,,
2009,PRK,24428341,,,,,,,,
2010,PRK,24548836,,,,,,,,
2011,PRK,24673385,,,,,,,,
2012,PRK,24800612,,,,,,,,
2013,PRK,24929452,,,,,,,,
2014,PRK,25057752,,,,,,,,
2015,PRK,25183833,,,,,,,,
2016,PRK,25307744,,,,,,,,
2017,PRK,25429985,,,,,,,,
2018,PRK,25549819,,,,,,,,
2019,PRK,25666161,,,,,,,,
2006,PRT,10522288,31625,24650,19823,,,,,
2007,PRT,10542964,32355,25702,22782,,,,,
2008,PRT,10558177,32411,26666,24848,,,,,
2009,PRT,10568247,31369,26478,23060,,,,,
2010,PRT,10573100,31900,27283,22499,,,,,
2011,PRT,10557560,31405,26770,23187,,,,,
2012,PRT,10514844,30253,26438,20565,,,,,
2013,PRT,10457295,30139,27936,21647,,,,,
2014,PRT,10401062,30542,28742,22074,,,,,
2015,PRT,10358076,31218,29661,19242,,,,,
2016,PRT,10325452,31949,31608,19978,,,,,
2017,PRT,10300300,33150,33150,21490,,,,,
2018,PRT,10283822,34149,36034,23563,,,,,
2019,PRT,10269417,34962,37918,23252,,,,,
2006,PRY,5913209,8845,7960,2271,,,,,
2007,PRY,5998427,9192,8495,2977,,,,,
2008,PRY,6081296,9644,9086,4042,,,,,
2009,PRY,6163972,9490,9009,3625,,,,,
2010,PRY,6248020,10405,9993,4356,,,,,
2011,PRY,6333976,10700,10491,5323,,,,,
2012,PRY,6421512,10497,10022,5183,,,,,
2013,PRY,6510276,11226,11087,5927,,,,,
2014,PRY,6599526,11612,11426,6103,,,,,
2015,PRY,6688746,11810,11471,5407,,,,,
2016,PRY,6777872,12158,12030,5319,,,,,
2017,PRY,6867062,12594,12594,5681,,,,,
2018,PRY,6956071,12850,13164,5806,,,,,
2019,PRY,7044636,12685,13246,5415,,,,,
2006,PSE,3406334,4696,3351,1570,,,,,
2007,PSE,3494496,4751,3481,1664,,,,,
2008,PSE,3591977,4965,3709,2035,,,,,
2009,PSE,3689099,5250,3951,2192,,,,,
2010,PSE,3786161,5411,4120,2557,,,,,
2011,PSE,3882986,5783,4495,2881,,,,,
2012,PSE,3979998,5986,5256,3067,,,,,
2013,PSE,4076708,6118,5372,3315,,,,,
2014,PSE,4173398,5967,5510,3352,,,,,
2015,PSE,4270092,6049,5954,3272,,,,,
2016,PSE,4367088,6439,6305,3528,,,,,
2017,PSE,4454805,6402,6402,3620,,,,,
2018,PSE,4569087,6318,6472,3562,,,,,
2019,PSE,4685306,6220,6495,,,,,,
2006,PYF,261010,,,,,,,,
2007,PYF,262721,,,,,,,,
2008,PYF,264061,,,,,,,,
2009,PYF,265254,,,,,,,,
2010,PYF,266455,,,,,,,,
2011,PYF,267698,,,,,,,,
2012,PYF,268998,,,,,,,,
2013,PYF,270328,,,,,,,,
2014,PYF,271705,,,,,,,,
2015,PYF,273124,,,,,,,,
2016,PYF,274575,,,,,,,,
2017,PYF,276103,,,,,,,,
2018,PYF,277679,,,,,,,,
2019,PYF,279287,,,,,,,,
2006,QAT,1022711,93656,120837,59530,,,,,
2007,QAT,1218434,92750,122884,65422,,,,,
2008,QAT,1436665,92556,125011,80234,,,,,
2009,QAT,1654950,89955,122424,59094,,,,,
2010,QAT,1856327,95908,132048,67403,,,,,
2011,QAT,2035871,99147,139358,82410,,,,,
2012,QAT,2196074,96262,141635,85076,,,,,
2013,QAT,2336574,95500,138230,85051,,,,,
2014,QAT,2459198,95578,129069,83858,,,,,
2015,QAT,2565710,95965,92968,63039,,,,,
2016,QAT,2654374,95602,83103,57163,,,,,
2017,QAT,2724724,91739,91739,59125,,,,,
2018,QAT,2781677,90970,93186,65908,,,,,
2019,QAT,2832067,90044,94029,62088,,,,,
2006,ROU,21193760,18283,11541,5757,,,,,
2007,ROU,20882982,19897,13683,8360,,,,,
2008,ROU,20537875,22115,16782,10435,,,,,
2009,ROU,20367487,21069,16644,8548,,,,,
2010,ROU,20246871,20368,16989,8214,,,,,
2011,ROU,20147528,20859,17896,9099,,,,,
2012,ROU,20058035,21379,18870,8507,,,,,
2013,ROU,19983693,22268,19782,9548,,,,,
2014,ROU,19908979,23158,20658,10044,,,,,
2015,ROU,19815616,23954,21606,8969,,,,,
2016,ROU,19702267,25225,24271,9549,,,,,
2017,ROU,19587290,27231,27231,10808,,,,,
2018,ROU,19472545,28617,30174,12400,,,,,
2019,ROU,19356544,29984,33340,12920,,,,,
2006,RUS,143049637,21824,14912,6920,,,,,
2007,RUS,142805114,23720,16648,9101,,,,,
2008,RUS,142742366,24964,20164,11635,,,,,
2009,RUS,142785349,23010,19390,8563,,,,,
2010,RUS,142849468,24035,20490,10675,,,,,
2011,RUS,142960908,25049,22799,14311,,,,,
2012,RUS,143201721,26013,24303,15421,,,,,
2013,RUS,143506995,26413,26074,15975,,,,,
2014,RUS,143819666,26137,25762,14096,,,,,
2015,RUS,144096870,25566,24085,9313,,,,,
2016,RUS,144342396,25569,24125,8705,,,,,
2017,RUS,144496740,26006,26006,10720,,,,,
2018,RUS,144477860,26668,28764,11371,,,,,
2019,RUS,144373535,27044,29181,11585,,,,,
2006,RWA,9043337,1226,1029,367,,,,,
2007,RWA,9273757,1287,1110,439,,,,,
2008,RWA,9524534,1393,1224,544,,,,,
2009,RWA,9782770,1441,1276,580,,,,,
2010,RWA,10039338,1507,1350,610,,,,,
2011,RWA,10293331,1587,1451,669,,,,,
2012,RWA,10549678,1682,1490,726,,,,,
2013,RWA,10811543,1719,1544,723,,,,,
2014,RWA,11083635,1780,1708,744,,,,,
2015,RWA,11369071,1889,1806,752,,,,,
2016,RWA,11668818,1951,1884,745,,,,,
2017,RWA,11980937,1975,1975,772,,,,,
2018,RWA,12301939,2089,2140,783,,,,,
2019,RWA,12626950,2227,2325,820,,,,,
2006,SAU,24498310,44277,48553,15385,,,,,
2007,SAU,25184597,43866,49394,16517,,,,,
2008,SAU,25888541,45340,52047,20078,,,,,
2009,SAU,26630303,43170,49933,16113,,,,,
2010,SAU,27421461,44037,51530,19263,,,,,
2011,SAU,28267685,46989,56133,23746,,,,,
2012,SAU,29155187,48024,57364,25243,,,,,
2013,SAU,30052518,47848,55907,24845,,,,,
2014,SAU,30916994,48209,55725,24464,,,,,
2015,SAU,31717667,48921,48611,20628,,,,,
2016,SAU,32442572,48627,45486,19879,,,,,
2017,SAU,33099147,47309,47309,20804,,,,,
2018,SAU,33699947,47597,48756,23339,,,,,
2019,SAU,34268528,46962,49040,23140,,,,,
2006,SDN,31661823,2896,2672,905,,,,,
2007,SDN,32360621,3142,2977,1128,,,,,
2008,SDN,33060837,3296,3184,1305,,,,,
2009,SDN,33783788,3313,3225,1164,,,,,
2010,SDN,34545013,3218,3169,1401,,,,,
2011,SDN,35349681,3654,3673,1438,,,,,
2012,SDN,36193783,4007,4103,1458,,,,,
2013,SDN,37072550,4084,4189,1557,,,,,
2014,SDN,37977655,4093,4735,1710,,,,,
2015,SDN,38902950,4192,5048,1910,,,,,
2016,SDN,39847440,4285,4416,1299,,,,,
2017,SDN,40813396,4363,4363,1112,,,,,
2018,SDN,41801533,4161,4259,624,,,,,
2019,SDN,42813238,3958,4123,442,,,,,
2006,SEN,11382268,2646,2407,1041,,,,,
2007,SEN,11687080,2705,2526,1222,,,,,
2008,SEN,12004701,2740,2609,1412,,,,,
2009,SEN,12335084,2722,2612,1317,,,,,
2010,SEN,12678148,2743,2663,1280,,,,,
2011,SEN,13033809,2707,2683,1374,,,,,
2012,SEN,13401991,2767,2765,1330,,,,,
2013,SEN,13782420,2767,2749,1376,,,,,
2014,SEN,14174731,2868,2831,1397,,,,,
2015,SEN,14578459,2966,2971,1219,,,,,
2016,SEN,14993528,3068,3076,1270,,,,,
2017,SEN,15419381,3204,3204,1362,,,,,
2018,SEN,15854360,3315,3396,1466,,,,,
2019,SEN,16296364,3395,3545,1447,,,,,
2006,SGP,4401365,70794,63910,33769,,,,,
2007,SGP,4588599,74032,68628,39433,,,,,
2008,SGP,4839396,71507,67577,40007,,,,,
2009,SGP,4987573,69467,66149,38927,,,,,
2010,SGP,5076732,78160,75294,47237,,,,,
2011,SGP,5183688,81399,80052,53890,,,,,
2012,SGP,5312437,82970,82065,55546,,,,,
2013,SGP,5399162,85586,83002,56967,,,,,
2014,SGP,5469724,87809,84423,57563,,,,,
2015,SGP,5535002,89366,86975,55647,,,,,
2016,SGP,5607283,91076,89386,56828,,,,,
2017,SGP,5612253,94941,94941,60914,,,,,
2018,SGP,5638676,97745,100126,66189,,,,,
2019,SGP,5703569,97341,101649,65233,,,,,
2006,SLB,481078,2176,1818,1120,,,,,
2007,SLB,492132,2222,1907,1260,,,,,
2008,SLB,503360,2299,2011,1389,,,,,
2009,SLB,515181,2303,2030,1429,,,,,
2010,SLB,527861,2442,2177,1604,,,,,
2011,SLB,541521,2553,2324,1939,,,,,
2012,SLB,556064,2533,2350,2142,,,,,
2013,SLB,571335,2596,2451,2249,,,,,
2014,SLB,587079,2553,2455,2275,,,,,
2015,SLB,603118,2521,2449,2167,,,,,
2016,SLB,619437,2599,2551,2225,,,,,
2017,SLB,636038,2666,2666,2333,,,,,
2018,SLB,652858,2700,2766,2442,,,,,
2019,SLB,669823,2663,2781,2374,,,,,
2006,SLE,5829237,1257,945,323,,,,,
2007,SLE,5989633,1322,1020,360,,,,,
2008,SLE,6133603,1360,1071,408,,,,,
2009,SLE,6272734,1372,1088,391,,,,,
2010,SLE,6415634,1414,1134,402,,,,,
2011,SLE,6563240,1469,1203,448,,,,,
2012,SLE,6712581,1654,1406,566,,,,,
2013,SLE,6863980,1953,1747,717,,,,,
2014,SLE,7017144,1998,1788,715,,,,,
2015,SLE,7171914,1552,1587,588,,,,,
2016,SLE,7328838,1611,1597,501,,,,,
2017,SLE,7488431,1643,1643,499,,,,,
2018,SLE,7650154,1663,1704,534,,,,,
2019,SLE,7813215,1718,1794,528,,,,,
2006,SLV,6079399,7137,5591,2632,,,,,
2007,SLV,6105810,7238,5823,2786,,,,,
2008,SLV,6131764,7393,6063,2933,,,,,
2009,SLV,6157686,7208,5957,2858,,,,,
2010,SLV,6183875,7329,6127,2983,,,,,
2011,SLV,6210568,7576,6466,3266,,,,,
2012,SLV,6237923,7755,6541,3428,,,,,
2013,SLV,6266070,7892,6877,3510,,,,,
2014,SLV,6295128,7990,7233,3589,,,,,
2015,SLV,6325124,8143,7598,3706,,,,,
2016,SLV,6356143,8310,8039,3806,,,,,
2017,SLV,6388122,8454,8454,3910,,,,,
2018,SLV,6420744,8616,8825,4068,,,,,
2019,SLV,6453553,8776,9164,4187,,,,,
2006,SMR,29700,83307,68454,64248,,,,,
2007,SMR,30063,88153,74381,72710,,,,,
2008,SMR,30434,86642,74528,78644,,,,,
2009,SMR,30816,76736,66511,66723,,,,,
2010,SMR,31229,71577,62761,60239,,,,,
2011,SMR,31661,64730,57943,57287,,,,,
2012,SMR,32105,59338,54447,49985,,,,,
2013,SMR,32553,58062,53467,51573,,,,,
2014,SMR,32948,56963,55420,50807,,,,,
2015,SMR,33272,57795,55611,42660,,,,,
2016,SMR,33504,58806,57454,43827,,,,,
2017,SMR,33671,58867,58867,45399,,,,,
2018,SMR,33785,59439,60886,48995,,,,,
2019,SMR,33860,,,,,,,,
2006,SOM,10763905,,,,,,,,
2007,SOM,11080121,,,,,,,,
2008,SOM,11397188,,,,,,,,
2009,SOM,11717692,,,,,,,,
2010,SOM,12043883,,,,,,,,
2011,SOM,12376302,,,,,,,,
2012,SOM,12715510,,,,,,,,
2013,SOM,13063706,,,,,,,,
2014,SOM,13423576,,,,,,,,
2015,SOM,13797201,,,,,,,,
2016,SOM,14185613,,,,,,,,
2017,SOM,14589119,,,,,,,,
2018,SOM,15008154,,,,,,,,
2019,SOM,15442905,,,,,,,,
2006,SRB,7411569,12997,10196,4383,,,,,
2007,SRB,7381579,13890,11223,5848,,,,,
2008,SRB,7350222,14739,12632,7101,,,,,
2009,SRB,7320807,14394,12543,6169,,,,,
2010,SRB,7291436,14557,12808,5735,,,,,
2011,SRB,7234099,14971,13747,6809,,,,,
2012,SRB,7199077,14942,13934,6016,,,,,
2013,SRB,7164132,15449,14629,6755,,,,,
2014,SRB,7130576,15275,14660,6600,,,,,
2015,SRB,7095383,15628,14928,5589,,,,,
2016,SRB,7058322,16234,15858,5765,,,,,
2017,SRB,7020858,16664,16664,6293,,,,,
2018,SRB,6982604,17509,18296,7252,,,,,
2019,SRB,6944975,18351,19495,7412,,,,,
2006,SSD,7907406,,,,,,,,
2007,SSD,8315139,,,,,,,,
2008,SSD,8736939,,2911,1669,,,,,
2009,SSD,9142259,,2944,1338,,,,,
2010,SSD,9508364,,3021,1536,,,,,
2011,SSD,9830698,,2845,1516,,,,,
2012,SSD,10113647,,1519,1180,,,,,
2013,SSD,10355036,,2099,1779,,,,,
2014,SSD,10554883,,1496,1323,,,,,
2015,SSD,10715658,,1235,1120,,,,,
2016,SSD,10832512,,,,,,,,
2017,SSD,10910759,,,,,,,,
2018,SSD,10975920,,,,,,,,
2019,SSD,11062113,,,,,,,,
2006,STP,161681,3069,2464,883,,,,,
2007,STP,166300,3081,2540,897,,,,,
2008,STP,171120,3239,2723,1099,,,,,
