country_code,en_plural,en_article,fr_feminine,fr_plural,fr_article,es_feminine,es_plural,es_article,pt_feminine,pt_plural,pt_article
LTU,,,1,,,1,,,1,,
LUX,,,,,,,,,,,0
LVA,,,1,,,1,,,1,,
MAC,,,,,0,,,,,,0
MAF,,,,,0,,,,,,0
MAR,,,,,,,,,,,0
MCO,,,1,,0,,,,,,
MDA,,,1,,,1,,,1,,
MDG,,,,,0,,,,,,0
MDV,0,1,1,1,,1,1,,1,1,
MEX,,,,,,,,,,,
MHL,1,1,,,,,,,1,1,
MKD,,,1,,,1,,,1,,
MLI,,,,,,,,,,,
MLT,,,1,,0,1,,,,,0
MMR,,,,,,1,,,,,
MNE,,,,,,,,,,,
MNG,,,1,,,1,,,1,,
MNP,1,1,1,1,,1,1,,1,1,
MOZ,,,,,,,,,,,0
MRT,,,1,,,1,,,1,,
MUS,,,,,0,,,,,,0
MWI,,,,,,,,,,,
MYS,,,1,,,1,,,1,,
NAM,,,,,,1,,,1,,
NCL,,,1,,,1,,,1,,
NER,,,,,,,,,,,
NGA,,,,,,1,,,1,,
NIC,,,,,,1,,,1,,
NIU,,,,,0,,,,,,0
NLD,0,1,,1,,,,,,1,
NOR,,,1,,,1,,,1,,
NPL,,,,,,,,,,,
NRU,,,,,0,,,,,,0
NZL,,,1,,,1,,,1,,
OMN,,,,,0,,,,,,0
PAK,,,,,,,,,,,
PAN,,,,,,,,,,,
PER,,,,,,,,,,,
PHL,0,1,1,1,,1,1,,1,1,
PLW,,,,,,,,,,,0
PNG,,,1,,,1,,,1,,
POL,,,1,,,1,,,1,,
PRI,,,1,,,,,,,,
PRK,,,1,,,1,,,1,,
PRT,,,,,,,,,,,0
PRY,,,,,,,,,,,
PSE,,,1,,,,,,1,,
PYF,,,1,,,1,,,1,,
QAT,,,,,,,,,,,
ROU,,,1,,,1,,,1,,
RUS,,,1,,,1,,,1,,
RWA,,,,,,,,,,,
SAU,,,1,,,1,,,1,,
SDN,,,,,,,,,,,
SEN,,,,,,,,,,,
SGP,,,,,0,,,,,,0
SLB,0,1,1,1,,1,1,,1,1,
SLE,,,1,,,1,,,1,,
SLV,,,,,,,,,,,0
SMR,,,,,,,,,,,0
SOM,,,1,,,1,,,1,,
SRB,,,1,,,1,,,1,,
SSD,,,,,,,,,,,
STP,,,,,0,,,,,,0
SUR,,,,,1,,,,,,
SVK,,,1,,,1,,,1,,
SVN,,,1,,,1,,,1,,
SWE,,,1,,,1,,,1,,
SWZ,,,,,,,,,,,0
SXM,,,,,0,,,,,,0
SYC,0,1,1,1,,1,1,,1,1,
SYR,,,1,,,1,,,1,,
TCA,1,1,,,,,,,1,1,
TCD,,,,,,,,,,,
TGO,,,,,,,,,,,
THA,,,1,,,1,,,1,,
TJK,,,,,,,,,,,
TKL,,,1,,,,,,,,0
TKM,,,,,,,,,,,
TLS,,,,,,,,,,,0
TON,,,1,1,,1,,,,,0
TTO,,,1,,0,1,,,,,0
TUN,,,1,,,,,,1,,
TUR,,,1,,,1,,,1,,
TUV,,,,,0,,,,,,0
TWN,,,,,0,,,,,,0
TZA,,,1,,,,,,1,,
UGA,,,,,,1,,,,,
UKR,,,1,,,1,,,1,,
URY,,,,,,,,,,,
USA,,1,,1,,,1,1,,1,
UZB,,,,,,,,,,,
VCT,0,,,,0,,,,,,0
VEN,,,,,,1,,,1,,
VGB,1,1,1,1,,1,1,,1,1,
VIR,,1,1,1,,1,1,,1,1,
VNM,,,,,,,,,,,0
VUT,,,,,0,,,,,,0
WLF,,,1,1,,,,,,,0
WSM,,,1,1,,1,,,,,0
XKX,,,,,,,,,,,
YEM,,,,,,,,,,,
ZAF,,,1,,,1,,,1,,
ZMB,,,1,,,1,,,1,,
ZWE,,,,,,,,,,,
