source_code,proxy_source,retrieval_date,retrieval_url,description
source_010, , , ,2013 Annual Statistical Digest (ASD) Ministry of Education - https://sdd.spc.int/digital_library/vanuatu-2012-2013-education-digest
source_011, , , ,2013 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
source_012, , , ,2014 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
source_013, , , ,"2015-2018 Education Sector Strategic Development Plan: Ministry of Education, Heritage and Arts. Fiji. - http://www.education.gov.fj/wp-content/uploads/2019/01/2015-2018_ESSDP.pdf"
source_014, , , ,"2016 RoN Education Management Information System Data. Nauru - Department of Education, Manager of Statistics. Accessed on NMDI website on 30 October 2020"
source_017, , , ,AusAID from MOE via PIFS Tracking Report 2012 cited in PNG - MOE Performacne Assessment Framework 2010
source_019, , , ,"Bureau of Statistics [Nauru], Department of Health [Nauru], the Pacific Community (SPC). Nauru Vital Statistics Report 2008-2013. Nauru: Bureau of Statistics and Department of Health; Nov 2015. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/CRVS/Reports/Nauru_2008_2013_CRVS_Report.pdf"
source_020, , , ,Census Report - Marshall Islands 1999_AvM&F
source_021, , , ,Census Report - Palau 2005_AVM&F
source_022, , , ,"Census-Surveys and Demography Division, Samoa Bureau of Statistics, Government of Samoa. 2014. Samoa Demographic and Health Survey 2014. . Apia, Samoa: Ministry of Health/Samoa. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Samoa_Demographic_and_Health_Survey_DHS_Final_2014.pdf"
source_023, , , ,"Central Statistics Division (TCSD), SPC and Macro International Inc. 2007. Tuvalu Demographic and Health Survey. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Tuvalu_Demographic_and_Health_Survey_DHS_Report_2007.pdf"
source_025, , , ,"Division of Statistics, Budget, Overseas Development Assistance and Compact Management (SBOC), FSM National Government. n.d. Summary Analysis of Key Indicators from the FSM 2010 Census of Population and Housing. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/Census/FM/FSM_2010_Census_Population_Indicators.pdf?attachment=true"
source_026, , , ,"Federated States of Micronesia Education Management Information System Online, from NMDI website, accessed on 30 October 2020 from https://www.spc.int/nmdi/mdg2"
source_027, , , ,"Federated States of Micronesia Education Management Information System Online, sourced from the NMDI website on 2 November 2020 from https://www.spc.int/nmdi/education"
source_028, , , ,Fiji - Ministry of Education Annual Report 2013 - http://www.parliament.gov.fj/wp-content/uploads/2017/02/Education_2013.pdf
source_029, , , ,"Fiji Bureau of Statistics, Fiji. 2011. Report on the 2008-09 household income and expenditure survey. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/HIES/FJ/Fiji_2008_2009_HIES_Report.pdf?attachment=true"
source_030, , , ,"Fiji Data Provisions - Convention on the Elimination of all forms of Discrimation Against Women (CEDAW) Committee 2018, accessed from https://tbinternet.ohchr.org/Treaties/CEDAW/Shared%20Documents/FJI/INT_CEDAW_AIS_FJI_30530_E.pdf"
source_031, , , ,Fiji Education Sector Strategic Development Plan 2012-2014 - http://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/fiji-2012-2014_essdp_education_sector_strategic_devt-plan.pdf
source_032, , , ,Fiji Health Status Report 2017 - http://www.health.gov.fj/wp-content/uploads/2020/03/HSR-2017-.pdf
source_033, , , ,Fiji Ministry of Education Annual Report 2015 - http://www.education.gov.fj/wp-content/uploads/Publications/2015_Ministry_of_Education_Annual_Report.pdf
source_034, , , ,Fiji Ministry of Health and Medical Services Annual Report 2016 - http://www.health.gov.fj/wp-content/uploads/2018/03/MoHMS-Jan-July-Report-2016.pdf
source_035, , , ,"Fiji Ministry of Health and Medical Services Annual Report 2016, http://www.health.gov.fj/wp-content/uploads/2018/03/MoHMS-Jan-July-Report-2016.pdf"
source_037, , , ,"From KEMIS Online, sourced from Judicial Staff Education Committee (JSEC) and the South Sea Evangelica Church (SSEC) statistics combined. Accessed from National Minimum Development Indicators (NMDI) website on 2 November 2020 from https://www.spc.int/nmdi/education"
source_038, , , ,"From KEMIS Online, sourced from Judicial Staff Education Committee (JSEC) and the South Sea Evangelica Church (SSEC) statistics combined. Accessed from NMDI website on 2 November 2020 from https://www.spc.int/nmdi/education"
source_039, , , ,FSM - Ministry of Education National JEMCO Report 2010 - https://sdd.spc.int/digital_library/fsm-2010-national-jemco-20-education-indicators-report
source_040, , , ,FSM - MoE - National JEMCO Report 2011
source_041, , , ,FSM Education Data Digest 2018 - http://docplayer.net/132232174-Fsm-education-data-digest.html
source_042, , , ,"FSM Office of Statistics, Budget and Economic Management, Overseas Development Assistance, and Compact Management in cooperation with the FSM Millennium Development Goals Task Force. 2010. Millennium Development Goals & Status Report 2010: The Federated States of Micronesia. Retrieved from: https://www.pacific.undp.org/content/dam/fiji/docs/FSM_MDG.pdf"
source_043, , , ,Global Education Digest 2011 Comparing Education Statistics across  the world UNESCO Institute for Statistics. Retrieved from https://archive.crin.org/sites/default/files/images/docs/global_education_digest_2011_en.pdf
source_044, , , ,Global Education Digest 2011 Comparing Education Statistics across the world - UNESCO Institute for Statistics. Retrieved from https://archive.crin.org/sites/default/files/images/docs/global_education_digest_2011_en.pdf
source_045, , , ,Global Eudcaiton Digest 2011 Comparing Education Statistics across  the world UNESCO Institute for Statistics. Retrieved from https://archive.crin.org/sites/default/files/images/docs/global_education_digest_2011_en.pdf
source_046, , , ,"Health Promotion Administration, Ministry of Health and Welfare, Taiwan;   ; https://www.hpa.gov.tw/Pages/ashx/File.ashx?FilePath=~/File/Attach/12889/File_14869.pdf"
source_047, , , ,"Health Promotion Administration, Ministry of Health and Welfare, Taiwan; https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=268&pid=12886"
source_048, , , ,Kiribati - Ministry of Education - Digest of Education Statistics 2008 - https://sdd.spc.int/digital_library/kiribati-2008-education-statistics-digest
source_049, , , ,Kiribati - Ministry of Education - Digest of Education Statistics 2011 - https://sdd.spc.int/digital_library/kiribati-2011-education-statistics-digest
source_050, , , ,Kiribati - Ministry of Education - Digest of Education Statistics 2014 - https://sdd.spc.int/digital_library/kiribati-2014-education-statistics-digest
source_051, , , ,Kiribati Social Development Indicator Survey 2018-2019 - https://asiapacific.unfpa.org/en/publications/kiribati-social-development-indicator-survey-2018-19
source_052, , , ,KNOEMA Education Statistics. Accessed on 3 November 2020 from https://knoema.com/WBEDS2017Jun/education-statistics
source_054, , , ,"Marshall Islands Child Health and Nutrition Survey 2017, https://www.unicef.org/pacificislands/reports/republic-marshall-islands-integrated-child-health-and-nutrition-survey-2017-report"
source_055, , , ,"Marshall Islands Education Management Information System 2016 data, accessed from NMDI website on 2 November 2020 from https://www.spc.int/nmdi/education"
source_056, , , ,"Marshall Islands Ministry of Health Annual Report 2011, http://ghdx.healthdata.org/record/marshall-islands-ministry-health-annual-report-2011"
source_057, , , ,"MDG data, accessed 30 October 2020 from http://mdgs.un.org/unsd/mdg/Data.aspx"
source_058, , , ,Millennium Development Goal Indicators - Fiji 2015 - https://www.forumsec.org/wp-content/uploads/2020/03/2015-Pacific-Regional-MDGs-Tracking-Report.pdf
source_059, , , ,"Ministry of Education and Training Statistical Digest Report 2016-2018. Annual Statistics Digest Report, Ministry of Educaiton and Training (MoET), Vanuatu - https://moet.gov.vu/docs/statistics/2016-2018%20MoET%20Annual%20Statistical%20Digest%20-%20ENG%20version_2019.pdf"
source_060, , , ,"Ministry of Education, Government of the Republic of Kiribati. 2014. Digest of Education Statistics 2014. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/Education/KI/Kiribati_2014_Education_Statistics_Digest.pdf?attachment=true"
source_061, , , ,"Ministry of Education, Heritage and Arts 2016-2017, accessed from NMDI website on 30 October 2020. Also available from: http://www.parliament.gov.fj/wp-content/uploads/2019/05/Ministry-of-Education-Heritage-and-Arts-2016-2017-Annual-Report.pdf"
source_062, , , ,"Ministry of Education, Taiwan; https://english.moe.gov.tw/cp-87-14508-95005-1.html"
source_063, , , ,"Ministry of Health & Medical Services, Fiji. 2017. Health Status Report 2016. Retrieved from: http://www.health.gov.fj/wp-content/uploads/2018/03/Annual-Report-2006.pdf"
source_064, , , ,"Ministry of Health and Welfare, Taiwan;  https://www.mohw.gov.tw/dl-30434-3c8f206d-54c9-4e28-9039-c63c89cf3dc7.html"
source_065, , , ,"Ministry of Health and Welfare, Taiwan; Appendix-B3 in https://www.mohw.gov.tw/dl-54339-4afc75a4-0196-4d0d-8889-415d20ff3e9c.html"
source_066, , , ,"Ministry of Health and Welfare, Taiwan; https://www.mohw.gov.tw/dl-30431-5a6406fb-34be-488d-8240-626790fa9965.html"
source_067, , , ,"Ministry of Health and Welfare, Taiwan; https://www.mohw.gov.tw/dl-30752-e17a8752-97ee-412a-8835-33542b093f49.html"
source_068, , , ,"Ministry of Health and Welfare, Taiwan; https://www.mohw.gov.tw/dl-30753-a0fd403c-a968-4d6e-b558-1a13f1a497c5.html"
source_069, , , ,"Ministry of Health, Republic of Palau. 2015. Annual Report 2014. Retrieved from: https://palau-data.sprep.org/system/files/MOH%20Annual%20Report%202014.pdf"
source_070, , , ,"Ministry of Health/Samoa, Samoa Bureau of Statistics, and ICF Macro. 2010. Samoa Demographic and Health Survey 2009. Apia, Samoa: Ministry of Health/Samoa. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Samoa_Demographic_and_Health_Survey_DHS_2009.pdf"
source_071, , , ,"Ministry of the Interior, Taiwan; Adult Mortality calculated from life tables at: https://www.moi.gov.tw/english/cl.aspx?n=7780"
source_072, , , ,National Education For All - 2015 Review in Tuvalu. Sourced from UNESDOC Digital Library - http://uis.unesco.org/sites/default/files/documents/pacific-education-for-all-2015-review-en_1.pdf
source_073, , , ,"National Statistical Office (NSO) [Papua New Guinea] and ICF. 2019. Papua New Guinea Demographic and Health Survey 2016-18: Key Indicators Report. Port Moresby, PNG, and Rockville, Maryland, USA: NSO and ICF. Retrieved from: https://dhsprogram.com/publications/publication-PR123-Preliminary-Reports-Key-Indicators-Reports.cfm"
source_074, , , ,"National Statistics Office, Papa New Guinea. 2009. 2009-2010 Papua New Guinea Household Income and Expenditure Survey Summary Tables. Retrieved from: https://microdata.pacificdata.org/index.php/catalog/134/download/554"
source_075, , , ,"National Statistics, Taiwan; https://eng.stat.gov.tw/public/Attachment/410184513VTN8S5UB.pdf"
source_076, , , ,"Nauru - Department of Education, Manager of Statistics. Accessed from NMDI website on 30 October 2020"
source_077, , , ,"Nauru 2007 demographic and health survey. Demographic and Health Surveys. Auckland, New Zealand: NBS, SPC and Macro, 2009 ( http://www.spc.int/prism/country/nr/stats/Publication/DHS/dhs.htm, accessed 10/05/11)."
source_078, , , ,"Nauru Bureau of Statistics, SPC and Macro International Inc. 2007. Nauru 2007 Demographic and Health Survey. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Nauru_Demographic_and_Health_Survey_DHS_Report_2007.pdf"
source_079, , , ,Nauru Census Report - 2011
source_080, , , ,Nauru Vital Statistics Report 2008-2013
source_081, , , ,"Nauru Vital Statistics Report 2008-2013, https://pacific-data.sprep.org/dataset/nauru-vital-statistics-report-2008-2013"
source_082, , , ,Nauru Vital Statistics Report 2008-2013. https://sdd.spc.int/search?s=Nauru+vital+statistics+report+2008-2013
source_083, , , ,Nauru Vital Statistics Report 2008-2013. Retrieved from https://pacific-data.sprep.org/dataset/nauru-vital-statistics-report-2008-2013
source_084, , , ,Nauru Vital Statistics Report 2015-2017
source_085, , , ,Nauru Vital Statistics Report 2015-2017 Average male and female values
source_088, , , ,NMDI--Census Report - Marshall Islands 1999
source_089, , , ,NMDI--Census Report - Marshall Islands 1999 from https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/98/98ae85ba01a4ac50c3fbaa54d46871b7.pdf?sv=2015-12-11&sr=b&sig=ySa%2Bp0qpbayyF2UuuHvhVXyw1MSFVw1SfI4kgoAo6aU%3D&se=2021-05-22T00%3A43%3A30Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Marshall_Islands_1999_Census_Report.pdf%22
source_090, , , ,NMDI--Census Report - Nauru 2002
source_091, , , ,NMDI--Census Report - Palau 2005
source_092, , , ,NMDI--Census Report - Tuvalu 2002 - from http://prdrse4all.spc.int/node/4/content/tuvalu-2002-census-reports-volume-1-volume-2
source_093, , , ,NMDI--Tuvalu Census 2002 Report_AvM&F
source_094, , , ,NMDI-Census Report - Tuvalu 2002
source_095, , , ,NMDI-not referenced
source_102, , , ,Pacific Islands Forum Secretariat 2015 Pacific Regional MDGs Tracking Report - https://www.forumsec.org/wp-content/uploads/2020/03/2015-Pacific-Regional-MDGs-Tracking-Report.pdf
source_103, , , ,Pacific Islands Forum Secretariat. 2010. 2010 Pacific Regional MDGs Tracking Report. Retrieved from: https://pacific-data.sprep.org/system/files/689.pdf
source_104, , , ,Palau - Ministry of Education Statistics Yearbook 2011 - https://sdd.spc.int/digital_library/palau-2011-education-statistical-yearbook
source_105, , , ,Palau - MoE Database Extract
source_106, , , ,Papua New Guinea Economic Update Reinforcing Resilience 2017 - http://documents1.worldbank.org/curated/en/150591512370709162/Papua-New-Guinea-Economic-Update-Reinforcing-Resilience.pdf
source_107, , , ,"Papua New Guinea national micronutrient survey 2005: Final report. Port Moresby, Papua New Guinea, 2009 (and additional analysis)."
source_111, , , ,PNG education at a glance 2016. Accessed from NMDI website on 2 November 2020 from https://www.spc.int/nmdi/education
source_112, , , ,PNG Household Income and Expenditure Survey - 2009-2010 Summary Tables - https://sdd.spc.int/digital_library/png-2009-2010-hies-report-summary-tables
source_113, , , ,"Policy and Planning Unit, Ministry of Education, Republic of Vanuatu. 2012. Annual Statistics Report 2010-2011. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/Education/VU/Vanuatu_2010_2011_Education_Digest.pdf?attachment=true"
source_114, , , ,"Policy and Planning Unit, Ministry of Education, Republic of Vanuatu. 2013. Annual Statistics Report 2013. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/Education/VU/Vanuatu_2012_2013_Education_Digest.pdf?attachment=true"
source_115, , , ,"PRIDE, Policy Research Indicators Database, Taiwan, https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872893"
source_116, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872893
source_117, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872894
source_118, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872895
source_119, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872896
source_120, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872897
source_121, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872898
source_122, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872899
source_123, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872900
source_124, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872901
source_125, , , ,PRIDE: Policy Research Indicators Database    https://pride.stpi.narl.org.tw/chart?tagId=4b1141ad70108ff001701e40f7872902
source_126, , , ,"Republic of Nauru, Department of Education, Education Statistics Digest 2015 - https://sdd.spc.int/digital_library/nauru-2015-education-digest"
source_127, , , ,"Republic of the Marshall Islands Integrated Child Health and Nutrition Survey 2017, Final Report. Majuro, Republic of the Marshall Islands: RMI Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistic Office, 2017 (and additional analysis)"
source_128, , , ,"Republic of the Marshall Islands Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistics Office and UNICEF. 2017. Republic of the Marshall Islands Integrated Child Health and Nutrition Survey 2017, Final Report. Majuro, Republic of the Marshall Islands: Republic of the Marshall Islands Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistics Office. Retrieved from: https://www.unicef.org/pacificislands/RMI_ichns_print_e_mockup.pdfChild health and nutrition survey 2017"
source_129, , , ,RMI Statistical Yearbook 2017 - https://www.rmieppso.org/social/statisical-yearbook
source_131, , , ,Samoa - Ministry of Education - Education Statistical Digest 2012 - https://sdd.spc.int/digital_library/samoa-2012-education-stats-digest
source_132, , , ,Samoa - Ministry of Education - Education Statistical Digest 2016 - https://sdd.spc.int/digital_library/samoa-2016-education-stats-digest
source_133, , , ,"Samoa - Ministry of Education, Sports and Culture, Education Statistical Digest 2019 - https://www.mesc.gov.ws/wp-content/uploads/2020/05/2019-Statistical-Digest_FINAL_31st-Jan-2020.pdf"
source_134, , , ,"Samoa Demographic and Health Survey 2014 (and additional analysis, averaging male and female scores)"
source_135, , , ,Samoa Demographic and Health Survey 2014 (and additional analysis)
source_136, , , ,"Samoa Demographic and Health Survey 2014, https://www.sbs.gov.ws/digi/Samoa%20DHS%202014.pdf"
source_137, , , ,"Samoa Statistical Abstract 2017 report, accessed from NMDI website on 30 October 2020 - https://www.sbs.gov.ws/digi/2017%20-%20Samoa%20Bureau%20of%20Statistics%20-%20Statistical%20Abstract.pdf"
source_138, , , ,Solomon Islands - Ministry of Education and Human Resources Development - Performance Assessment Report (PAR) 2010-2014 - https://sdd.spc.int/digital_library/solomon-islands-performance-assessment-report-2010-2014
source_139, , , ,"Solomon Islands 2006-2007 demographic and health survey. DHS. Noumea, New Caledonia: SISO, SPC and Macro International Inc., 2007 (accessed 22/12/09 http://www.spc.int/prism/Country/SB/Stats/Publication/DHS07/report/SI-DHS-REPORT_TOC_Summary.pdf)"
source_140, , , ,"Solomon Islands Ministry of Health and Medical Services and the Pacific Community. 2017. Solomon Islands Demographic and Health Survey, 2015 (and additional analysis)"
source_141, , , ,Solomons Islands - MoE Education Digest
source_142, , , ,SPC from DOE cited in PNG - Department of Education.
source_143, , , ,"Tonga - Health Statistics, Senior Health Informatics Officer"
source_144, , , ,"Tonga Demographic and Health Survey 2012, https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/79/79b2571ec6acc68abcd0f0c34439761b.pdf?sv=2015-12-11&sr=b&sig=Cvascolg8blF7898ybttoqoB7cB6cntXkbYnt7btWGc%3D&se=2021-05-24T21%3A09%3A15Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Tonga_Demographic_and_Health_Survey_DHS_Report_2012.pdf%22"
source_145, , , ,"Tonga demographic and health survey 2012. Noumea, New Caledonia: Secretariat of the Pacific Community, 2013."
source_146, , , ,"Tonga Department of Statistics and Tonga Ministry of Health, SPC and UNFPA. 2013. Tonga Demographic and Health Survey, 2012. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Tonga_Demographic_and_Health_Survey_DHS_Report_2012.pdf"
source_147, , , ,"Tuvalu demographic and health survey. DHS. Noumea, New Caledonia: TCSD, SPC and Macro International Inc, 2007 (accessed 22/12/09 http://www.spc.int/sdp/index.php?option=com_docman&task=cat_view&gid=53&Itemid=42)."
source_148, , , ,"Tuvalu Education Department. Ministry of Education, Youth and Sports. 2015 Education Statistical Report. https://sdd.spc.int/digital_library/tuvalu-2015-education-statistical-report"
source_149, , , ,"Tuvalu Education Department. Ministry of Education, Youth and Sports. 2016 and 2017 Education Statistical Report. https://sdd.spc.int/digital_library/tuvalu-2016-2017-education-statistical-report"
source_151, , , ,"UIS data from UNESCO website, accessed on 10 December 2020 from http://data.uis.unesco.org/#"
source_152, , , ,"UIS data from UNESCO website, accessed on 11 December 2020 from http://data.uis.unesco.org/#"
source_153, , , ,"UIS data from UNESCO website, accessed on 3 November 2020 from http://data.uis.unesco.org/#"
source_154, , , ,"UNESCO education and literacy data, Nauru, accessed on 10 December 2020 from http://uis.unesco.org/en/country/nr"
source_155, , , ,"UNICEF Kiribati MISC6 2018-2019 Survey Findings Report, Table TM.3.1A, https://microdata.pacificdata.org/index.php/catalog/741"
source_156, , , ,"United Nations, Department of Economic and Social Affairs, Population Division (2016). World Contraceptive Use 2016 (POP/DB/CP/Rev2016). Retrieved from: https://www.un.org/en/development/desa/population/publications/dataset/contraception/wcu2016/UNPD_WCU2016_Country_Data_Survey-Based.xlsx"
source_157, , , ,"Unweighted average of male & female values from: Republic of the Marshall Islands Integrated Child Health and Nutrition Survey 2017, Final Report. Majuro, Republic of the Marshall Islands: RMI Ministry of Health and Human Services, RMI Economic, Policy Planning and Statistic Office, 2017 (and additional analysis)"
source_158, , , ,"Unweighted average of male/female - World Health Organization, 2006. Western pacific country health information profiles: 2006 revision. Retrieved from: https://iris.wpro.who.int/bitstream/handle/10665.1/10902/9290612290_eng.pdf"
source_159, , , ,"Unweighted male and female average from Tuvalu demographic and health survey. DHS. Noumea, New Caledonia: TCSD, SPC and Macro International Inc, 2007 (accessed 22/12/09 http://www.spc.int/sdp/index.php?option=com_docman&task=cat_view&gid=53&Itemid=42)"
source_160, , , ,"Vanuatu demographic and health survey 2013. Port Vila, Vanuatu, 2014. https://www.spc.int/DigitalLibrary/Doc/SDD/DHS/VU/Vanuatu_Demographic_and_Health_Survey_DHS_2013.html"
source_161, , , ,"Vanuatu multiple indicator cluster survey 2007 (MICS). Final Report. Port Vila, Vanuatu: Ministry of Health, Government of Vanuatu, 2008 (and additional analysis)."
source_162, , , ,"Water Resources Agency, Ministry of Economic Affairs; https://www-ws.wra.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAxL3JlbGZpbGUvOTA4NC82NzUxNS9lMWYwODEzYy1hYWMxLTQ1ZWMtODFlMy03YWRkYWExMjgxMzEucGRm&n=VDU2LnBkZg%3d%3d"
source_165, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2020
source_166, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2020; Average of male and female values.
source_167, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2030
source_168, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2031
source_169, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2032
source_170, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2033
source_171, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2034
source_172, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2035
source_173, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2036
source_174, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2037
source_175, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2038
source_176, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2039
source_177, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2040
source_178, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 16 October 2041
source_179, , , ,WHO GHO indicators: Underfive mortality rate (https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-(probability-of-dying-by-age-5-per-1000-live-births)) accessed on 23 November 2020
